country,year,fertilityrate,life_expectancy,Total_population
Afghanistan,1800,7.0,28.21,3.28
Afghanistan,1810,7.0,28.11,3.28
Afghanistan,1820,7.0,28.01,3.32
Afghanistan,1830,7.0,27.9,3.45
Afghanistan,1840,7.0,27.8,3.63
Afghanistan,1850,7.0,27.7,3.81
Afghanistan,1860,7.0,27.6,3.97
Afghanistan,1870,7.0,27.49,4.17
Afghanistan,1880,7.0,27.39,4.42
Afghanistan,1890,7.0,27.29,4.71
Afghanistan,1900,7.0,27.19,5.02
Afghanistan,1910,7.0,27.08,5.35
Afghanistan,1920,7.0,26.98,5.81
Afghanistan,1930,7.14,26.88,6.39
Afghanistan,1940,7.4,26.78,7.03
Afghanistan,1950,7.67,26.85,7.75
Afghanistan,1951,7.67,27.13,7.84
Afghanistan,1952,7.67,27.67,7.93
Afghanistan,1953,7.67,28.19,8.04
Afghanistan,1954,7.67,28.73,8.15
Afghanistan,1955,7.67,29.27,8.27
Afghanistan,1956,7.67,29.8,8.4
Afghanistan,1957,7.67,30.34,8.53
Afghanistan,1958,7.67,30.86,8.68
Afghanistan,1959,7.67,31.4,8.83
Afghanistan,1960,7.67,31.94,8.99
Afghanistan,1961,7.67,32.47,9.16
Afghanistan,1962,7.67,33.01,9.34
Afghanistan,1963,7.67,33.53,9.53
Afghanistan,1964,7.67,34.07,9.73
Afghanistan,1965,7.67,34.6,9.94
Afghanistan,1966,7.67,35.13,10.15
Afghanistan,1967,7.67,35.66,10.37
Afghanistan,1968,7.67,36.17,10.6
Afghanistan,1969,7.67,36.69,10.85
Afghanistan,1970,7.67,37.2,11.12
Afghanistan,1971,7.67,37.7,11.41
Afghanistan,1972,7.67,38.19,11.72
Afghanistan,1973,7.67,38.67,12.02
Afghanistan,1974,7.67,39.14,12.32
Afghanistan,1975,7.67,39.61,12.58
Afghanistan,1976,7.67,40.07,12.83
Afghanistan,1977,7.67,40.53,13.06
Afghanistan,1978,7.67,40.98,13.22
Afghanistan,1979,7.67,41.46,13.28
Afghanistan,1980,7.67,41.96,13.21
Afghanistan,1981,7.67,42.51,13.0
Afghanistan,1982,7.67,43.11,12.67
Afghanistan,1983,7.67,43.75,12.28
Afghanistan,1984,7.68,44.45,11.91
Afghanistan,1985,7.68,45.21,11.63
Afghanistan,1986,7.68,46.02,11.44
Afghanistan,1987,7.68,46.87,11.34
Afghanistan,1988,7.68,47.74,11.38
Afghanistan,1989,7.68,48.62,11.61
Afghanistan,1990,7.69,49.5,12.07
Afghanistan,1991,7.7,49.3,12.79
Afghanistan,1992,7.73,49.4,13.75
Afghanistan,1993,7.76,49.5,14.82
Afghanistan,1994,7.8,48.9,15.87
Afghanistan,1995,7.83,49.4,16.77
Afghanistan,1996,7.86,49.7,17.48
Afghanistan,1997,7.87,49.5,18.03
Afghanistan,1998,7.85,48.6,18.51
Afghanistan,1999,7.81,50.0,19.04
Afghanistan,2000,7.73,50.1,19.7
Afghanistan,2001,7.62,50.4,20.53
Afghanistan,2002,7.48,51.0,21.49
Afghanistan,2003,7.32,51.4,22.51
Afghanistan,2004,7.14,51.8,23.5
Afghanistan,2005,6.93,52.0,24.4
Afghanistan,2006,6.7,52.1,25.18
Afghanistan,2007,6.46,52.4,25.88
Afghanistan,2008,6.2,52.8,26.53
Afghanistan,2009,5.93,53.3,27.21
Afghanistan,2010,5.66,53.6,27.96
Afghanistan,2011,5.4,54.0,28.81
Afghanistan,2012,5.14,54.4,29.73
Afghanistan,2013,4.9,54.8,30.68
Afghanistan,2014,4.68,54.9,31.63
Afghanistan,2015,4.47,53.8,32.53
Albania,1800,4.6,35.4,0.41
Albania,1810,4.6,35.4,0.42
Albania,1820,4.6,35.4,0.44
Albania,1830,4.6,35.4,0.46
Albania,1840,4.6,35.4,0.48
Albania,1850,4.6,35.4,0.51
Albania,1860,4.6,35.4,0.55
Albania,1870,4.6,35.4,0.61
Albania,1880,4.6,35.4,0.67
Albania,1890,4.6,35.4,0.74
Albania,1900,4.6,35.4,0.82
Albania,1910,4.6,35.4,0.9
Albania,1920,4.6,35.4,0.96
Albania,1930,3.72,36.29,1.02
Albania,1940,4.19,42.0,1.12
Albania,1950,5.8,54.48,1.26
Albania,1951,5.9,54.72,1.29
Albania,1952,6.07,55.23,1.32
Albania,1953,6.21,55.85,1.35
Albania,1954,6.31,56.59,1.38
Albania,1955,6.37,57.45,1.42
Albania,1956,6.4,58.42,1.46
Albania,1957,6.39,59.48,1.5
Albania,1958,6.35,60.6,1.54
Albania,1959,6.28,61.75,1.59
Albania,1960,6.19,62.87,1.64
Albania,1961,6.08,63.92,1.69
Albania,1962,5.96,64.84,1.74
Albania,1963,5.83,65.6,1.79
Albania,1964,5.71,66.18,1.84
Albania,1965,5.59,66.59,1.9
Albania,1966,5.48,66.88,1.95
Albania,1967,5.38,67.11,2.0
Albania,1968,5.27,67.32,2.05
Albania,1969,5.16,67.55,2.1
Albania,1970,5.05,67.83,2.15
Albania,1971,4.93,68.16,2.2
Albania,1972,4.81,68.53,2.25
Albania,1973,4.68,68.93,2.31
Albania,1974,4.54,69.35,2.36
Albania,1975,4.39,69.77,2.41
Albania,1976,4.24,70.17,2.46
Albania,1977,4.09,70.54,2.52
Albania,1978,3.95,70.86,2.57
Albania,1979,3.81,71.14,2.63
Albania,1980,3.68,71.39,2.68
Albania,1981,3.56,71.63,2.74
Albania,1982,3.46,71.88,2.79
Albania,1983,3.37,72.15,2.84
Albania,1984,3.3,72.42,2.9
Albania,1985,3.23,72.71,2.97
Albania,1986,3.18,72.96,3.04
Albania,1987,3.13,73.14,3.12
Albania,1988,3.08,73.25,3.2
Albania,1989,3.02,73.3,3.25
Albania,1990,2.97,73.3,3.28
Albania,1991,2.92,73.4,3.28
Albania,1992,2.87,73.6,3.24
Albania,1993,2.82,73.6,3.19
